Würfel Angriff:     Würfel Verteidigung:     Ausgang:
5 3 3               1 1                      Sieg des Angriffs
5 3 3               1 2                      Sieg des Angriffs
5 3 3               1 3                      Sieg des Angriffs
5 3 3               1 4                      Sieg des Angriffs
5 3 3               1 5                      Gleichstand! YAY
5 3 3               1 6                      Gleichstand! YAY
5 3 3               2 1                      Sieg des Angriffs
5 3 3               2 2                      Sieg des Angriffs
5 3 3               2 3                      Sieg des Angriffs
5 3 3               2 4                      Sieg des Angriffs
5 3 3               2 5                      Gleichstand! YAY
5 3 3               2 6                      Gleichstand! YAY
5 3 3               3 1                      Sieg des Angriffs
5 3 3               3 2                      Sieg des Angriffs
5 3 3               3 3                      Gleichstand! YAY
5 3 3               3 4                      Gleichstand! YAY
5 3 3               3 5                      Sieg der Verteidigung
5 3 3               3 6                      Sieg der Verteidigung
5 3 3               4 1                      Sieg des Angriffs
5 3 3               4 2                      Sieg des Angriffs
5 3 3               4 3                      Gleichstand! YAY
5 3 3               4 4                      Gleichstand! YAY
5 3 3               4 5                      Sieg der Verteidigung
5 3 3               4 6                      Sieg der Verteidigung
5 3 3               5 1                      Gleichstand! YAY
5 3 3               5 2                      Gleichstand! YAY
5 3 3               5 3                      Sieg der Verteidigung
5 3 3               5 4                      Sieg der Verteidigung
5 3 3               5 5                      Sieg der Verteidigung
5 3 3               5 6                      Sieg der Verteidigung
5 3 3               6 1                      Gleichstand! YAY
5 3 3               6 2                      Gleichstand! YAY
5 3 3               6 3                      Sieg der Verteidigung
5 3 3               6 4                      Sieg der Verteidigung
5 3 3               6 5                      Sieg der Verteidigung
5 3 3               6 6                      Sieg der Verteidigung
5 3 4               1 1                      Sieg des Angriffs
5 3 4               1 2                      Sieg des Angriffs
5 3 4               1 3                      Sieg des Angriffs
5 3 4               1 4                      Sieg des Angriffs
5 3 4               1 5                      Gleichstand! YAY
5 3 4               1 6                      Gleichstand! YAY
5 3 4               2 1                      Sieg des Angriffs
5 3 4               2 2                      Sieg des Angriffs
5 3 4               2 3                      Sieg des Angriffs
5 3 4               2 4                      Sieg des Angriffs
5 3 4               2 5                      Gleichstand! YAY
5 3 4               2 6                      Gleichstand! YAY
5 3 4               3 1                      Sieg des Angriffs
5 3 4               3 2                      Sieg des Angriffs
5 3 4               3 3                      Sieg des Angriffs
5 3 4               3 4                      Sieg des Angriffs
5 3 4               3 5                      Gleichstand! YAY
5 3 4               3 6                      Gleichstand! YAY
5 3 4               4 1                      Sieg des Angriffs
5 3 4               4 2                      Sieg des Angriffs
5 3 4               4 3                      Sieg des Angriffs
5 3 4               4 4                      Gleichstand! YAY
5 3 4               4 5                      Sieg der Verteidigung
5 3 4               4 6                      Sieg der Verteidigung
5 3 4               5 1                      Gleichstand! YAY
5 3 4               5 2                      Gleichstand! YAY
5 3 4               5 3                      Gleichstand! YAY
5 3 4               5 4                      Sieg der Verteidigung
5 3 4               5 5                      Sieg der Verteidigung
5 3 4               5 6                      Sieg der Verteidigung
5 3 4               6 1                      Gleichstand! YAY
5 3 4               6 2                      Gleichstand! YAY
5 3 4               6 3                      Gleichstand! YAY
